model_id,budget_id,d,L,H,params,train_flops_per_jet,C,D,val_loss,val_acc
M1,C1,64,2,4,134750,99240192,3000000000000.0,30230,1.39287,0.4944
M1,C2,64,2,4,134750,99240192,10000000000000.0,100766,1.0363,0.6216
M1,C3,64,2,4,134750,99240192,30000000000000.0,302297,0.81531,0.71256
M2,C1,64,4,4,266080,162745344,3000000000000.0,18434,1.57612,0.42602
M2,C2,64,4,4,266080,162745344,10000000000000.0,61446,1.14422,0.58961
M2,C3,64,4,4,266080,162745344,30000000000000.0,184337,0.84619,0.70166
M2,C4,64,4,4,266080,162745344,100000000000000.0,614457,0.66784,0.76356
M3,C2,96,2,6,301250,208181568,10000000000000.0,48035,1.18371,0.57173
M3,C3,96,2,6,301250,208181568,30000000000000.0,144105,0.89531,0.68554
M3,C4,96,2,6,301250,208181568,100000000000000.0,480350,0.70531,0.75016
M4,C2,64,6,4,397410,226250496,10000000000000.0,44199,1.38341,0.49696
M4,C3,64,6,4,397410,226250496,30000000000000.0,132596,0.93028,0.66871
M4,C4,64,6,4,397410,226250496,100000000000000.0,441988,0.68654,0.75689
M5,C2,128,2,8,533860,356751744,10000000000000.0,28031,1.3826,0.50207
M5,C3,128,2,8,533860,356751744,30000000000000.0,84092,1.06725,0.61446
M5,C4,128,2,8,533860,356751744,100000000000000.0,280307,0.74483,0.73628
M6,C2,96,4,6,596550,341482944,10000000000000.0,29284,1.40103,0.49296
M6,C3,96,4,6,596550,341482944,30000000000000.0,87852,1.02196,0.63672
M6,C4,96,4,6,596550,341482944,100000000000000.0,292840,0.72752,0.74251
M7,C2,96,6,6,891840,474784320,10000000000000.0,21062,1.55319,0.43191
M7,C3,96,6,6,891840,474784320,30000000000000.0,63187,1.0896,0.60476
M7,C4,96,6,6,891840,474784320,100000000000000.0,210622,0.8083,0.71416
S1,C1,32,1,2,17910,20391936,3000000000000.0,147117,1.14571,0.58488
S1,C2,32,1,2,17910,20391936,10000000000000.0,490390,0.96416,0.65192
S2,C1,32,2,2,34360,29927616,3000000000000.0,100242,1.09032,0.60673
S2,C2,32,2,2,34360,29927616,10000000000000.0,334140,0.85973,0.69546
S3,C1,48,1,3,39330,40571328,3000000000000.0,73944,1.39123,0.49646
S3,C2,48,1,3,39330,40571328,10000000000000.0,246479,1.00781,0.63658
S3,C3,48,1,3,39330,40571328,30000000000000.0,739438,0.86803,0.69291
S4,C1,48,2,3,76290,59630304,3000000000000.0,50310,1.30343,0.54148
S4,C2,48,2,3,76290,59630304,10000000000000.0,167700,0.9129,0.67562
S4,C3,48,2,3,76290,59630304,30000000000000.0,503100,0.74583,0.73686
S5,C1,64,1,4,69090,67487616,3000000000000.0,44453,1.34826,0.50988
S5,C2,64,1,4,69090,67487616,10000000000000.0,148175,1.04564,0.6237
S5,C3,64,1,4,69090,67487616,30000000000000.0,444526,0.90358,0.6787
